,RandomForest,XGBoost,ExtraTrees,AdaBoost,LDA,LogReg
policy_bind_year,0.022966297445251665,0.0036256872,0.008637005348755101,0.0,-51.65659371361512,1.3848128365157666e-12
days_since_bind,0.030201697513492158,0.004916997,0.008297463035657085,0.09555248516052726,-50.29078504865919,-1.1669260127870182e-12
policy_bind_month,0.019913756699807147,0.0037925262,0.0091725721844558,0.047299228038888974,-4.212862668114891,-3.6038200045375787e-12
incident_severity_Major Damage,0.11666396486482031,0.028970927,0.14958057329439695,0.328583952477144,3.020082117890192,4.106305377480508e-11
policy_bind_quarter,0.011100967324846663,0.0057027005,0.00908282110418292,0.0,2.1116395468602414,-1.0244118381670987e-12
auto_model_X6,0.0009976068164354412,0.007870673,0.0019675781379855984,0.0,1.578690710492957,1.902441166439797e-12
incident_severity_Trivial Damage,0.00409688478959918,0.0046597673,0.004806396036747586,0.0,-1.3925318476018962,-7.55963596484177e-12
insured_occupation_handlers-cleaners,0.0029515329818686053,0.0076547945,0.004519227822586093,0.03133235160216265,-1.294664563449103,-2.3293720179052943e-12
incident_state_OH,0.0010525661735515,0.001784221,0.0023047394697926784,0.0,1.19809134878814,2.354214036605216e-12
incident_severity_Minor Damage,0.0419864782898205,0.017128041,0.05486970661932224,0.0,-1.0643268595460116,-2.4889556078351232e-11
auto_model_Civic,0.001174801316278485,0.015180181,0.0013483596479572882,0.012111849152296498,1.133689559621635,1.3221414063933537e-12
auto_model_Malibu,0.0028769726425580404,0.007826332,0.005681447888151637,0.05645130496539523,-1.032613202040775,-2.9180463822927724e-12
auto_model_RSX,0.0002599879064156517,0.0,0.00045829249921196794,0.0,-1.1029585302691958,-1.0641453965614815e-12
auto_model_Pathfinder,0.0012864790114588364,0.008173317,0.001692317336414838,0.0,-1.0378849058889679,-1.5100319512911957e-12
auto_model_CRV,0.00042823170648602956,0.0062283264,0.000913627029126375,0.0,-0.9765814046096379,-1.2585115332133186e-12
auto_model_Silverado,0.0013596925991320888,0.009405492,0.0021995525775608954,0.03197075609541561,0.9387094349756147,2.298460160729124e-12
auto_model_Grand Cherokee,0.0005189589189105937,0.006677075,0.001278170307329607,0.0,0.8701127073300524,3.8164342237179984e-13
csl_per_person,0.008575055880095989,0.0036835573,0.008671248942369354,0.0,0.7581696493324749,-1.838274711640316e-12
auto_model_Legacy,0.0006752125009046876,0.0046656705,0.0013847351550339692,0.0,-0.770763383960134,-2.0693974800991438e-12
auto_model_3 Series,0.0005599001287367178,0.0,0.0010781899944222227,0.0,-0.7655116286177676,-1.4020323171787952e-12
incident_state_WV,0.007665785663582104,0.005835377,0.010767907878448179,0.08096540720696599,-0.6447396306258185,-9.83990380315782e-12
is_holiday,0.0034019485371543454,0.003120093,0.004400770348633287,0.0,0.7176182226271959,3.5661250497781284e-12
csl_per_incident,0.00850957436017548,0.0036070459,0.008829681389352285,0.0,-0.704137441100033,-2.0685068108742107e-12
auto_model_Tahoe,0.0006658735519524499,0.0,0.000872758346511517,0.0,0.6875108903873839,1.1705073066919922e-12
insured_occupation_exec-managerial,0.004198465457398051,0.0075454055,0.00584476432980561,0.0,0.6392633441639353,3.2061172148620943e-12
auto_model_Forrestor,0.0011942823295730527,0.010474277,0.0019905924832732667,0.0,0.6358999957263073,8.179703074615586e-13
incident_severity_Total Loss,0.02639876872468085,0.023709886,0.03417619386653781,0.0,-0.5429171989558237,-1.3747123517107004e-11
hour_sin,0.02098685283316628,0.0038201439,0.007801485120804472,0.0,-0.5914113209529362,-5.126786682410996e-12
auto_model_Fusion,0.0004013798821403213,0.0,0.0006382350307401515,0.0,-0.6045279729509008,-3.5624327888071883e-13
auto_model_Wrangler,0.0007206473915021569,0.0049884026,0.0015700759222345856,0.0042614819034605105,-0.5844391613991302,-1.9151189089475442e-12
vehicle_age,0.024872929227476945,0.004889277,0.007387434721637751,0.016485229582967692,-0.5299987314678538,2.9011037881200656e-12
auto_make_Accura,0.0026860922417507307,0.0062803477,0.004382322777401299,0.024137987804584485,-0.5344144553283059,-3.888650167248629e-12
injury_share,0.020330389166868208,0.0044800467,0.008495027798030498,0.04469011393436652,-0.46989666438292294,-8.66407493049523e-12
vehicle_age_bucket,0.007539081315304519,0.0062146666,0.007317720277737682,0.0,0.5180832671554436,-6.618133410738285e-13
hour_bin_4_Evening (18-23),0.0034578177437878752,0.0060310503,0.0066696885313909104,0.0,-0.5111083765641943,1.2807128807952449e-12
auto_model_Impreza,0.00011699403214704803,0.0,0.00016885082776882,0.0,0.5266480549666707,3.1332775313114484e-13
auto_model_F150,0.0008630483175707249,0.0,0.0014088886526393055,0.0,0.5180016061084562,1.0617910532682634e-12
collision_type_Missing,0.011006828353676553,0.18426113,0.010330877363403212,0.0,0.3100281129294778,-1.38044270831584e-11
auto_model_Highlander,0.0004124812930279468,0.0,0.0004401031998016324,0.0,0.494954997689553,3.5433814448968715e-13
auto_model_92x,0.0007721489621877254,0.010450567,0.0013612817110209697,0.0,-0.4789157587377596,3.24762405918868e-13
months_as_customer,0.03247417310913127,0.004557142,0.007171305601611795,0.0,0.4320566902612374,3.4288771280325206e-12
insured_occupation_transport-moving,0.0021841959412785324,0.0054080957,0.0035299808345427217,0.0,0.46254258272417836,2.515207808558271e-12
hour_bin_4_Morning (6-11),0.0034065485547947923,0.0030015062,0.006951663706748632,0.0,0.45241418580245263,-2.8381594600216463e-12
auto_model_TL,0.0002208145504117454,0.0,0.0004525726628470512,0.0,-0.45328737953119164,-1.2426519230005557e-12
number_of_vehicles_involved,0.005109602094743177,0.0036991239,0.005782885918258661,0.0,-0.4337249639160907,2.358424006151137e-12
