months_as_customer,age,policy_state,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,auto_make,auto_model,collision_type_missing,property_damage_missing,police_report_available_missing,authorities_contacted_missing,injury_share,property_share,target,days_since_bind,incident_month,incident_dow,incident_weekend,policy_bind_year,policy_bind_month,policy_bind_quarter,is_holiday,holiday_window_2d,hour_sin,hour_cos,hour_bin_4,vehicle_age,csl_per_person,csl_per_incident,street_type,vehicle_age_bucket,vehicle_tier,body_type,claim_amount_risk_band,claim_amount_risk_band_encoded,days_since_bind_bucket_final,customer_tenure_bucket,umbrella_limit_bin,policy_annual_premium_bin,days_since_bind_bin,is_high_risk_premium
328,48,OH,1000,1406.91,0,MALE,MD,craft-repair,husband,53300,0,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,1,YES,1,2,YES,71610,Saab,92x,0,0,0,0,0.0909090909090909,0.1818181818181818,1,100,1,6,1,2014,10,4,0,0,0.9659258262890684,0.2588190451025207,Night (0-5),11,250,500,Drive,old,low,other,high,2,0–6mo,5y+,"(-0.001, 2000000.0]","(1385.327, 1454.674]","(-0.001, 908.2]",0
228,42,IN,2000,1197.22,5000000,MALE,MD,machine-op-inspct,other-relative,0,0,Vehicle Theft,Missing,Minor Damage,Police,VA,1,Missing,0,0,Missing,5070,Mercedes,E400,1,1,1,0,0.1538461538461538,0.1538461538461538,1,3130,1,2,0,2006,6,2,0,1,0.8660254037844387,-0.4999999999999998,Morning (6-11),8,250,500,Hwy,old,premium,other,low,0,9y,5y+,"(2000000.0, 6000000.0]","(1124.663, 1197.974]","(2909.4, 3830.6]",0
134,29,OH,2000,1413.14,5000000,FEMALE,PhD,sales,own-child,35100,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,3,NO,2,3,NO,34650,Dodge,RAM,0,0,0,0,0.2222222222222222,0.1111111111111111,0,5282,2,6,1,2000,9,3,0,0,0.9659258262890684,-0.2588190451025208,Morning (6-11),8,100,300,Lane,old,mid,pickup,medium,1,15y,5y+,"(2000000.0, 6000000.0]","(1385.327, 1454.674]","(4682.0, 5658.2]",0
256,41,IL,2000,1415.74,6000000,FEMALE,PhD,armed-forces,unmarried,48900,-62400,Single Vehicle Collision,Front Collision,Major Damage,Police,OH,1,Missing,1,2,NO,63400,Chevrolet,Tahoe,0,1,0,0,0.1,0.1,1,8996,1,5,1,1990,5,2,0,0,0.9659258262890684,0.2588190451025207,Night (0-5),1,250,500,Drive,new,mid,suv,high,2,20y+,5y+,"(2000000.0, 6000000.0]","(1385.327, 1454.674]","(8444.2, 9172.0]",0
228,44,IL,1000,1583.91,6000000,MALE,Associate,sales,unmarried,66000,-46000,Vehicle Theft,Missing,Minor Damage,Missing,NY,1,NO,0,1,NO,6500,Accura,RSX,1,0,0,1,0.2,0.1,0,256,2,1,0,2014,6,2,0,1,-0.8660254037844386,0.5000000000000001,Evening (18-23),6,500,1000,Ave,mid,mid,other,low,0,1y,5y+,"(2000000.0, 6000000.0]","(1564.724, 2047.59]","(-0.001, 908.2]",0
256,39,OH,1000,1351.1,0,FEMALE,PhD,tech-support,unmarried,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,3,NO,0,2,NO,64100,Saab,95,0,0,0,0,0.1,0.1,1,3004,1,4,0,2006,10,4,0,1,-0.9659258262890684,0.2588190451025203,Evening (18-23),12,250,500,St,old,low,other,high,2,9y,5y+,"(-0.001, 2000000.0]","(1322.372, 1385.327]","(2909.4, 3830.6]",1
137,34,IN,1000,1333.35,0,MALE,PhD,prof-specialty,husband,0,-77000,Multi-vehicle Collision,Front Collision,Minor Damage,Police,NY,3,Missing,0,0,Missing,78650,Nissan,Pathfinder,0,1,1,0,0.2727272727272727,0.0909090909090909,0,5336,1,1,0,2000,6,2,0,0,0.0,1.0,Night (0-5),3,250,500,Drive,new,mid,suv,high,2,15y,5y+,"(-0.001, 2000000.0]","(1322.372, 1385.327]","(4682.0, 5658.2]",1
165,37,IL,1000,1137.03,0,MALE,Associate,tech-support,unmarried,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,VA,3,Missing,2,2,YES,51590,Audi,A5,0,1,0,0,0.1818181818181818,0.1818181818181818,0,9155,2,4,0,1990,2,1,0,0,-0.2588190451025207,0.9659258262890684,Evening (18-23),0,100,300,Hwy,new,premium,sedan,medium,1,20y+,5y+,"(-0.001, 2000000.0]","(1124.663, 1197.974]","(8444.2, 9172.0]",0
27,33,IL,500,1442.99,0,FEMALE,PhD,other-service,own-child,0,0,Single Vehicle Collision,Front Collision,Total Loss,Police,WV,1,NO,1,1,YES,27700,Toyota,Camry,0,0,0,0,0.1,0.1,0,6568,1,4,0,1997,2,1,0,1,-0.7071067811865477,0.7071067811865474,Evening (18-23),3,100,300,Ridge,new,mid,sedan,low,0,20y,2–3y,"(-0.001, 2000000.0]","(1385.327, 1454.674]","(5658.2, 6660.4]",0
212,42,IL,500,1315.68,0,MALE,PhD,priv-house-serv,wife,0,-39300,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,1,NO,2,1,Missing,42300,Saab,92x,0,0,1,0,0.1111111111111111,0.1111111111111111,0,1260,1,0,0,2011,7,3,0,0,-0.5000000000000001,-0.8660254037844386,Afternoon (12-17),19,100,300,Ave,old,low,other,medium,1,4y,5y+,"(-0.001, 2000000.0]","(1257.2, 1322.372]","(908.2, 1984.8]",1
