months_as_customer,age,policy_state,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,auto_make,auto_model,collision_type_missing,property_damage_missing,police_report_available_missing,authorities_contacted_missing,injury_share,property_share,target,days_since_bind,incident_month,incident_dow,incident_weekend,policy_bind_year,policy_bind_month,policy_bind_quarter,is_holiday,holiday_window_2d,hour_sin,hour_cos,hour_bin_4,vehicle_age,csl_per_person,csl_per_incident,street_type,vehicle_age_bucket,vehicle_tier,body_type
328,48,OH,1000,1406.91,0,MALE,MD,craft-repair,sleeping,husband,53300,0,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,1,YES,1,2,YES,71610,Saab,92x,0,0,0,0,0.09090909090909091,0.18181818181818182,1,100,1,6,1,2014,10,4,0,0,0.9659258262890683,0.25881904510252074,Night (0-5),11,250,500,Drive,old,low,other
228,42,IN,2000,1197.22,5000000,MALE,MD,machine-op-inspct,reading,other-relative,0,0,Vehicle Theft,Missing,Minor Damage,Police,VA,1,Missing,0,0,Missing,5070,Mercedes,E400,1,1,1,0,0.15384615384615385,0.15384615384615385,1,3130,1,2,0,2006,6,2,0,1,0.8660254037844387,-0.4999999999999998,Morning (6-11),8,250,500,Hwy,old,premium,other
134,29,OH,2000,1413.14,5000000,FEMALE,PhD,sales,board-games,own-child,35100,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,3,NO,2,3,NO,34650,Dodge,RAM,0,0,0,0,0.2222222222222222,0.1111111111111111,0,5282,2,6,1,2000,9,3,0,0,0.9659258262890683,-0.25881904510252085,Morning (6-11),8,100,300,Lane,old,mid,pickup
256,41,IL,2000,1415.74,6000000,FEMALE,PhD,armed-forces,board-games,unmarried,48900,-62400,Single Vehicle Collision,Front Collision,Major Damage,Police,OH,1,Missing,1,2,NO,63400,Chevrolet,Tahoe,0,1,0,0,0.1,0.1,1,8996,1,5,1,1990,5,2,0,0,0.9659258262890683,0.25881904510252074,Night (0-5),1,250,500,Drive,new,mid,suv
228,44,IL,1000,1583.91,6000000,MALE,Associate,sales,board-games,unmarried,66000,-46000,Vehicle Theft,Missing,Minor Damage,Missing,NY,1,NO,0,1,NO,6500,Accura,RSX,1,0,0,1,0.2,0.1,0,256,2,1,0,2014,6,2,0,1,-0.8660254037844386,0.5000000000000001,Evening (18-23),6,500,1000,Ave,mid,mid,other
256,39,OH,1000,1351.1,0,FEMALE,PhD,tech-support,bungie-jumping,unmarried,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,3,NO,0,2,NO,64100,Saab,95,0,0,0,0,0.1,0.1,1,3004,1,4,0,2006,10,4,0,1,-0.9659258262890684,0.2588190451025203,Evening (18-23),12,250,500,St,old,low,other
137,34,IN,1000,1333.35,0,MALE,PhD,prof-specialty,board-games,husband,0,-77000,Multi-vehicle Collision,Front Collision,Minor Damage,Police,NY,3,Missing,0,0,Missing,78650,Nissan,Pathfinder,0,1,1,0,0.2727272727272727,0.09090909090909091,0,5336,1,1,0,2000,6,2,0,0,0.0,1.0,Night (0-5),3,250,500,Drive,new,mid,suv
165,37,IL,1000,1137.03,0,MALE,Associate,tech-support,base-jumping,unmarried,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,VA,3,Missing,2,2,YES,51590,Audi,A5,0,1,0,0,0.18181818181818182,0.18181818181818182,0,9155,2,4,0,1990,2,1,0,0,-0.2588190451025207,0.9659258262890683,Evening (18-23),0,100,300,Hwy,new,premium,sedan
27,33,IL,500,1442.99,0,FEMALE,PhD,other-service,golf,own-child,0,0,Single Vehicle Collision,Front Collision,Total Loss,Police,WV,1,NO,1,1,YES,27700,Toyota,Camry,0,0,0,0,0.1,0.1,0,6568,1,4,0,1997,2,1,0,1,-0.7071067811865477,0.7071067811865474,Evening (18-23),3,100,300,Ridge,new,mid,sedan
212,42,IL,500,1315.68,0,MALE,PhD,priv-house-serv,camping,wife,0,-39300,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,1,NO,2,1,Missing,42300,Saab,92x,0,0,1,0,0.1111111111111111,0.1111111111111111,0,1260,1,0,0,2011,7,3,0,0,-0.5000000000000001,-0.8660254037844386,Afternoon (12-17),19,100,300,Ave,old,low,other
235,42,OH,500,1253.12,4000000,FEMALE,Masters,exec-managerial,dancing,other-relative,38400,0,Single Vehicle Collision,Front Collision,Total Loss,Police,NY,1,YES,2,2,Missing,87010,Ford,F150,0,0,1,0,0.09090909090909091,0.18181818181818182,0,4608,1,1,0,2002,5,2,0,0,-0.5000000000000004,0.8660254037844384,Evening (18-23),13,100,300,Ridge,old,mid,pickup
447,61,OH,2000,1137.16,0,FEMALE,High School,exec-managerial,skydiving,other-relative,0,-51000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,3,YES,1,2,YES,114920,Audi,A3,0,0,0,0,0.15384615384615385,0.15384615384615385,0,5741,2,6,1,1999,5,2,0,1,-0.7071067811865477,0.7071067811865474,Evening (18-23),9,100,300,Hwy,old,premium,sedan
60,23,OH,500,1215.36,3000000,MALE,MD,protective-serv,reading,wife,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,1,YES,1,0,NO,56520,Saab,95,0,0,0,0,0.08333333333333333,0.16666666666666666,0,6272,1,3,0,1997,11,4,0,0,0.7071067811865476,-0.7071067811865475,Morning (6-11),15,500,1000,Drive,old,low,other
121,34,OH,1000,936.61,0,FEMALE,MD,armed-forces,bungie-jumping,wife,52800,-32800,Parked Car,Missing,Minor Damage,Missing,SC,1,NO,1,1,NO,7280,Toyota,Highlander,1,0,0,1,0.15384615384615385,0.15384615384615385,0,804,1,3,0,2012,10,4,0,0,0.9659258262890683,0.25881904510252074,Night (0-5),5,100,300,Lane,mid,mid,suv
180,38,OH,2000,1301.13,0,FEMALE,College,machine-op-inspct,board-games,not-in-family,41300,-55500,Single Vehicle Collision,Rear Collision,Total Loss,Police,SC,1,NO,0,2,YES,46200,Dodge,Neon,0,0,0,0,0.09090909090909091,0.18181818181818182,1,5862,1,3,0,1998,12,4,0,0,1.2246467991473532e-16,-1.0,Afternoon (12-17),12,250,500,Drive,old,mid,other
473,58,IN,2000,1131.4,0,FEMALE,MD,transport-moving,movies,other-relative,55700,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,WV,4,YES,0,0,NO,63120,Accura,MDX,0,0,0,0,0.16666666666666666,0.16666666666666666,1,8137,1,3,0,1992,10,4,0,0,1.2246467991473532e-16,-1.0,Afternoon (12-17),16,100,300,Ave,old,mid,other
70,26,OH,1000,1199.44,5000000,MALE,College,machine-op-inspct,hiking,own-child,63600,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,NY,3,Missing,1,2,YES,52110,Nissan,Maxima,0,1,0,0,0.1111111111111111,0.1111111111111111,0,3546,2,6,1,2005,6,2,0,0,0.0,1.0,Night (0-5),3,500,1000,St,new,mid,other
140,31,IN,500,708.64,6000000,MALE,High School,machine-op-inspct,reading,unmarried,53500,0,Single Vehicle Collision,Side Collision,Total Loss,Police,WV,1,NO,0,2,YES,77880,Suburu,Legacy,0,0,0,0,0.18181818181818182,0.09090909090909091,0,3704,1,1,0,2004,11,4,0,0,0.7071067811865476,-0.7071067811865475,Morning (6-11),0,500,1000,St,new,mid,other
160,37,OH,500,1374.22,0,FEMALE,MD,craft-repair,yachting,other-relative,45500,-37800,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,1,YES,1,0,NO,72930,Accura,TL,0,0,0,0,0.09090909090909091,0.18181818181818182,0,22,1,0,0,2014,12,4,1,1,-0.9659258262890684,0.2588190451025203,Evening (18-23),0,500,1000,Ridge,new,mid,other
196,39,IN,2000,1475.73,0,FEMALE,High School,handlers-cleaners,camping,own-child,57000,-27300,Multi-vehicle Collision,Side Collision,Major Damage,Police,VA,3,Missing,2,0,NO,60400,Nissan,Pathfinder,0,1,0,0,0.1,0.1,0,8239,2,6,1,1992,8,3,0,0,0.8660254037844387,-0.4999999999999998,Morning (6-11),1,500,1000,Ridge,new,mid,suv
460,62,IN,1000,1187.96,4000000,MALE,JD,other-service,bungie-jumping,own-child,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,3,NO,1,0,Missing,47160,Suburu,Impreza,0,0,1,0,0.0,0.1111111111111111,0,4573,1,3,0,2002,6,2,1,1,-0.8660254037844386,0.5000000000000001,Evening (18-23),4,250,500,St,mid,mid,other
217,41,IL,2000,875.15,0,FEMALE,Associate,machine-op-inspct,skydiving,own-child,46700,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,3,Missing,1,2,Missing,37840,Accura,RSX,0,1,1,0,0.0,0.125,0,3362,2,1,0,2005,11,4,0,0,-0.7071067811865475,-0.7071067811865477,Afternoon (12-17),19,500,1000,Drive,old,mid,other
370,55,IL,2000,972.18,0,MALE,High School,prof-specialty,paintball,other-relative,72700,-68200,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,3,NO,0,0,YES,71520,Suburu,Forrestor,0,0,0,0,0.25,0.08333333333333333,1,7534,1,6,1,1994,5,2,0,0,-0.8660254037844386,0.5000000000000001,Evening (18-23),15,100,300,Ave,old,mid,other
413,55,IN,2000,1268.79,0,MALE,MD,priv-house-serv,chess,own-child,0,-31000,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,1,Missing,2,2,Missing,98160,Dodge,RAM,0,1,1,0,0.08333333333333333,0.16666666666666666,1,8746,1,0,0,1991,2,1,1,1,-0.7071067811865475,-0.7071067811865477,Afternoon (12-17),4,100,300,Drive,mid,mid,pickup
237,40,IN,1000,883.31,0,MALE,College,craft-repair,kayaking,husband,0,-53500,Single Vehicle Collision,Rear Collision,Minor Damage,Other,VA,1,NO,1,3,NO,77880,Ford,Escape,0,0,0,0,0.09090909090909091,0.18181818181818182,0,6962,2,1,0,1996,2,1,0,0,1.0,6.123233995736766e-17,Morning (6-11),10,100,300,Hwy,old,mid,other
8,35,OH,2000,1266.92,0,MALE,Masters,sales,polo,own-child,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,OH,3,NO,1,3,YES,71500,Ford,Escape,0,0,0,0,0.23076923076923078,0.15384615384615385,1,400,1,4,0,2013,12,4,0,0,-0.8660254037844384,-0.5000000000000004,Afternoon (12-17),9,100,300,Lane,old,mid,other
257,43,IN,2000,1322.1,0,MALE,High School,prof-specialty,golf,own-child,0,-29200,Parked Car,Missing,Minor Damage,Police,PA,1,YES,1,3,YES,9020,Toyota,Camry,1,0,0,0,0.18181818181818182,0.09090909090909091,0,8896,1,2,0,1990,9,3,0,0,0.8660254037844386,0.5000000000000001,Night (0-5),10,100,300,St,old,mid,sedan
202,34,IN,500,848.07,3000000,MALE,JD,exec-managerial,chess,not-in-family,31000,-30200,Vehicle Theft,Missing,Minor Damage,Missing,VA,1,YES,2,1,Missing,5720,Suburu,Forrestor,1,0,1,1,0.18181818181818182,0.09090909090909091,1,4556,1,2,0,2002,7,3,0,0,0.9659258262890683,0.25881904510252074,Night (0-5),12,100,300,Hwy,old,mid,other
224,40,OH,2000,1291.7,0,FEMALE,JD,sales,kayaking,not-in-family,0,-55600,Single Vehicle Collision,Side Collision,Minor Damage,Other,SC,1,NO,1,0,YES,69840,Dodge,Neon,0,0,0,0,0.1111111111111111,0.2222222222222222,0,9100,1,3,0,1990,2,1,0,0,-0.7071067811865477,0.7071067811865474,Evening (18-23),6,100,300,Drive,mid,mid,other
241,45,IL,2000,1104.5,0,FEMALE,PhD,machine-op-inspct,basketball,unmarried,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,1,NO,2,2,NO,91650,Accura,TL,0,0,0,0,0.15384615384615385,0.15384615384615385,0,348,2,6,1,2014,3,1,0,1,0.9659258262890683,0.25881904510252074,Night (0-5),4,500,1000,Drive,mid,mid,other
64,25,IL,1000,954.16,0,MALE,Masters,prof-specialty,video-games,husband,53200,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,SC,4,NO,0,0,Missing,75600,Toyota,Corolla,0,0,1,0,0.16666666666666666,0.16666666666666666,0,5448,1,6,1,2000,2,1,0,1,-0.5000000000000004,0.8660254037844384,Evening (18-23),10,250,500,Drive,old,mid,sedan
166,37,IL,2000,1337.28,8000000,MALE,JD,craft-repair,reading,husband,27500,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,3,NO,2,2,Missing,67140,Ford,F150,0,0,1,0,0.1111111111111111,0.1111111111111111,1,2445,2,5,1,2008,6,2,0,0,0.49999999999999994,-0.8660254037844387,Morning (6-11),9,100,300,Lane,old,mid,pickup
155,35,IL,1000,1088.34,0,FEMALE,Associate,adm-clerical,yachting,other-relative,81100,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,NY,3,YES,2,3,NO,29790,BMW,3 Series,0,0,0,0,0.1111111111111111,0.1111111111111111,0,4225,2,1,0,2003,8,3,0,0,-0.8660254037844384,-0.5000000000000004,Afternoon (12-17),7,500,1000,Ave,mid,premium,other
114,30,IL,1000,1558.29,0,MALE,High School,farming-fishing,video-games,wife,51400,-64000,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NY,3,NO,1,2,Missing,77110,Suburu,Impreza,0,0,1,0,0.18181818181818182,0.18181818181818182,0,8315,1,4,0,1992,4,2,0,0,0.25881904510252074,0.9659258262890683,Night (0-5),0,100,300,Ridge,new,mid,other
149,37,IL,500,1415.68,0,MALE,PhD,prof-specialty,yachting,own-child,0,0,Single Vehicle Collision,Side Collision,Total Loss,Fire,WV,1,YES,0,1,YES,64800,Audi,A3,0,0,0,0,0.16666666666666666,0.08333333333333333,0,8796,2,3,0,1991,1,1,0,1,-0.9659258262890683,-0.25881904510252063,Afternoon (12-17),16,500,1000,St,old,premium,sedan
147,33,OH,1000,1334.15,6000000,MALE,High School,craft-repair,reading,not-in-family,53300,-49200,Single Vehicle Collision,Front Collision,Major Damage,Other,WV,1,YES,2,0,YES,53100,Mercedes,C300,0,0,0,0,0.2,0.1,1,1630,1,5,1,2010,8,3,0,0,-0.7071067811865475,-0.7071067811865477,Afternoon (12-17),20,100,300,Drive,old,premium,sedan
62,28,IL,1000,988.45,0,FEMALE,Masters,protective-serv,camping,unmarried,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,1,Missing,1,1,YES,60200,Suburu,Forrestor,0,1,0,0,0.1,0.1,1,4324,1,4,0,2003,3,1,0,0,0.7071067811865475,0.7071067811865476,Night (0-5),11,100,300,St,old,mid,other
289,49,IL,2000,1222.48,0,FEMALE,JD,priv-house-serv,golf,unmarried,0,0,Parked Car,Missing,Minor Damage,Missing,WV,1,NO,1,1,YES,5330,Suburu,Legacy,1,0,0,1,0.23076923076923078,0.15384615384615385,0,8019,1,6,1,1993,2,1,0,1,-0.8660254037844384,-0.5000000000000004,Afternoon (12-17),14,500,1000,Lane,old,mid,other
431,54,IN,2000,1155.55,0,FEMALE,MD,craft-repair,bungie-jumping,unmarried,65700,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,3,Missing,2,0,Missing,62300,Jeep,Wrangler,0,1,1,0,0.2,0.1,0,4440,1,2,0,2002,11,4,0,1,0.8660254037844386,0.5000000000000001,Night (0-5),8,500,1000,St,old,mid,other
199,37,IN,500,1262.08,0,MALE,JD,tech-support,video-games,wife,48500,0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NC,1,Missing,0,3,NO,60170,Nissan,Pathfinder,0,1,0,0,0.18181818181818182,0.18181818181818182,1,6374,1,3,0,1997,7,3,0,0,0.8660254037844386,0.5000000000000001,Night (0-5),4,250,500,St,mid,mid,suv
79,26,IL,500,1451.62,0,MALE,Associate,tech-support,kayaking,not-in-family,0,-55700,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,1,NO,2,2,Missing,40000,BMW,M5,0,0,1,0,0.2,0.1,0,7180,1,5,1,1995,5,2,0,1,-0.9659258262890684,0.2588190451025203,Evening (18-23),5,100,300,Hwy,mid,premium,other
116,34,IN,500,1737.66,0,MALE,Associate,transport-moving,chess,unmarried,0,-24100,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,1,Missing,1,1,Missing,97080,BMW,X5,0,1,1,0,0.16666666666666666,0.16666666666666666,1,854,1,3,0,2012,8,3,1,1,0.25881904510252074,0.9659258262890683,Night (0-5),14,250,500,Lane,old,premium,suv
37,23,IL,500,1475.93,0,FEMALE,College,prof-specialty,hiking,husband,0,-67400,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,3,YES,1,0,NO,51660,Dodge,RAM,0,0,0,0,0.1111111111111111,0.1111111111111111,0,3183,1,4,0,2006,4,2,0,0,-0.9659258262890683,-0.25881904510252063,Afternoon (12-17),5,500,1000,Ridge,mid,mid,pickup
106,30,OH,500,538.17,0,FEMALE,PhD,transport-moving,reading,own-child,49700,-60200,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,1,NO,2,2,NO,51120,Mercedes,E400,0,0,0,0,0.1111111111111111,0.1111111111111111,0,4321,2,1,0,2003,4,2,0,0,-0.2588190451025207,0.9659258262890683,Evening (18-23),10,250,500,Drive,old,premium,other
